,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality,alcohol_higher,va_high
345,7.0,0.685,0.0,0.067,63.0,0.9979,0.81,9.9,5,0,1
1395,8.6,0.685,0.1,0.092,12.0,0.99745,0.65,9.55,6,0,1
997,5.6,0.66,0.0,0.087,11.0,0.99378,0.63,12.8,7,1,1
384,7.7,0.51,0.28,0.087,54.0,0.998,0.74,9.2,5,0,0
405,8.7,0.31,0.46,0.059,25.0,0.9966,0.76,10.1,6,0,0
1418,7.8,0.53,0.01,0.077,19.0,0.995,0.46,9.8,5,0,0
1382,8.0,0.6,0.22,0.08,105.0,0.99613,0.49,9.9,5,0,1
139,7.8,0.56,0.19,0.081,108.0,0.9962,0.54,9.5,5,0,0
657,12.0,0.5,0.59,0.073,42.0,0.998,0.68,10.5,7,0,0
1343,7.5,0.51,0.02,0.084,31.0,0.99538,0.54,10.5,6,0,0
1322,9.1,0.34,0.42,0.058,18.0,0.99392,0.55,11.4,5,0,0
471,9.6,0.54,0.42,0.081,52.0,0.997,0.71,11.4,6,0,0
1461,6.2,0.785,0.0,0.06,13.0,0.99664,0.61,10.0,4,0,1
590,9.0,0.45,0.49,0.084,75.0,0.9987,0.57,9.7,5,0,0
1516,6.1,0.32,0.25,0.071,58.0,0.99633,0.97,10.6,5,0,0
296,10.6,0.83,0.37,0.086,70.0,0.9981,0.52,9.9,5,0,1
347,13.8,0.49,0.67,0.093,15.0,0.9986,0.93,12.0,6,1,0
423,10.5,0.24,0.47,0.066,24.0,0.9978,0.9,11.0,7,0,0
1053,8.3,0.33,0.42,0.07,20.0,0.99426,0.77,12.7,7,1,0
593,9.9,0.49,0.58,0.094,43.0,1.0004,0.58,9.0,5,0,0
76,8.8,0.41,0.64,0.093,42.0,0.9986,0.66,10.5,5,0,0
1571,6.4,0.38,0.14,0.038,25.0,0.99514,0.65,11.1,6,0,0
683,8.1,0.78,0.23,0.059,15.0,0.997,0.56,11.3,5,0,1
844,9.9,0.25,0.46,0.062,42.0,0.9959,0.83,10.6,6,0,0
823,6.7,0.54,0.13,0.076,36.0,0.9973,0.64,9.8,5,0,0
1540,6.2,0.52,0.08,0.071,32.0,0.99646,0.63,11.6,6,1,0
427,9.5,0.78,0.22,0.077,32.0,0.9988,0.56,10.6,6,0,1
746,8.2,0.34,0.38,0.08,57.0,0.9978,0.47,9.0,6,0,0
611,13.2,0.38,0.55,0.081,16.0,1.0006,0.54,9.4,5,0,0
1585,7.2,0.39,0.44,0.066,48.0,0.99494,0.84,11.5,6,0,0
1225,9.2,0.46,0.23,0.091,77.0,0.99922,0.51,9.4,5,0,0
72,7.7,0.69,0.22,0.084,94.0,0.9961,0.48,9.5,5,0,1
1092,7.0,0.54,0.09,0.081,16.0,0.99479,0.59,11.5,6,0,0
709,9.7,0.31,0.47,0.062,33.0,0.9983,0.66,10.0,6,0,0
445,9.5,0.735,0.1,0.079,31.0,0.9986,0.56,10.1,6,0,1
907,6.1,0.56,0.0,0.079,9.0,0.9948,0.54,11.5,6,0,0
946,10.2,0.44,0.58,0.092,24.0,0.99745,0.99,12.0,7,1,0
123,8.0,0.71,0.0,0.08,34.0,0.9976,0.53,9.5,5,0,1
1184,6.7,0.64,0.23,0.08,119.0,0.99538,0.7,10.9,5,0,1
857,8.2,0.26,0.34,0.073,47.0,0.99594,0.78,11.3,7,0,0
783,6.5,0.46,0.14,0.114,37.0,0.99732,0.65,9.8,5,0,0
1127,6.3,0.76,0.0,0.072,52.0,0.99379,0.6,11.5,6,0,1
701,7.0,0.65,0.02,0.066,25.0,0.9972,0.67,9.5,6,0,1
1544,8.4,0.37,0.43,0.063,19.0,0.9955,0.81,11.2,7,0,0
773,7.9,0.4,0.29,0.157,44.0,0.9973,0.92,9.5,6,0,0
164,7.3,0.59,0.26,0.07,121.0,0.9981,0.49,9.4,5,0,0
943,9.8,0.5,0.34,0.094,45.0,0.99864,0.6,9.7,7,0,0
450,11.9,0.39,0.69,0.095,35.0,0.9994,0.61,10.8,6,0,0
1479,8.2,0.28,0.6,0.104,22.0,0.99828,0.68,10.6,5,0,0
