,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality,alcohol_higher,va_high
1460,6.4,0.42,0.09,0.054,64.0,0.99724,0.68,10.4,6,0,0
1448,6.9,0.58,0.01,0.08,54.0,0.99683,0.73,9.7,5,0,0
1244,5.9,0.29,0.25,0.067,160.0,0.99721,0.54,10.3,6,0,0
1544,8.4,0.37,0.43,0.063,19.0,0.9955,0.81,11.2,7,0,0
41,8.8,0.61,0.3,0.088,46.0,0.9976,0.51,9.3,4,0,1
817,10.8,0.29,0.42,0.084,27.0,0.99545,0.73,11.9,6,1,0
761,9.3,0.655,0.26,0.096,35.0,0.99738,0.42,9.6,5,0,1
691,9.2,0.92,0.24,0.087,93.0,0.9998,0.54,9.8,5,0,1
952,8.2,0.31,0.4,0.058,10.0,0.99536,0.68,11.2,7,0,0
39,7.3,0.45,0.36,0.074,87.0,0.9978,0.83,10.5,5,0,0
1465,6.8,0.59,0.1,0.063,53.0,0.9958,0.67,9.7,5,0,0
363,12.5,0.46,0.63,0.071,15.0,0.9988,0.87,10.2,5,0,0
1519,6.6,0.7,0.08,0.106,27.0,0.99665,0.58,10.2,5,0,1
1592,6.3,0.51,0.13,0.076,40.0,0.99574,0.75,11.0,6,0,0
657,12.0,0.5,0.59,0.073,42.0,0.998,0.68,10.5,7,0,0
873,9.1,0.21,0.37,0.067,10.0,0.99552,0.58,11.1,7,0,0
300,7.5,0.53,0.06,0.086,44.0,0.9965,0.59,10.7,6,0,0
1462,6.8,0.64,0.03,0.075,31.0,0.99545,0.58,10.4,6,0,1
1324,6.7,0.46,0.24,0.077,34.0,0.9948,0.6,10.6,6,0,0
1084,7.2,0.38,0.3,0.073,70.0,0.99685,0.59,9.5,6,0,0
631,10.4,0.28,0.54,0.105,19.0,0.9988,0.63,9.5,5,0,0
310,10.3,0.53,0.48,0.063,25.0,0.9998,0.59,9.3,6,0,0
969,6.7,0.56,0.09,0.079,22.0,0.99669,0.61,10.2,5,0,0
1531,6.1,0.705,0.1,0.081,28.0,0.99631,0.66,10.2,5,0,1
750,8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5,5,0,1
982,7.3,0.52,0.32,0.07,70.0,0.99418,0.82,12.9,6,1,0
1126,5.8,0.29,0.26,0.063,11.0,0.9915,0.54,13.5,6,1,0
394,12.7,0.6,0.65,0.063,25.0,0.9997,0.57,9.9,5,0,1
1539,7.2,0.39,0.32,0.065,60.0,0.99714,0.78,9.9,5,0,0
724,7.5,1.115,0.1,0.086,12.0,0.9958,0.6,11.2,4,0,1
